cn8_code,year,extra_eu_import_quantity_100kg
72285069,2017,718632.38
72285069,2018,792259.72
72285069,2019,693344.31
72285069,2020,591132.33
72285069,2021,839095.27
72285069,2022,398481.95
72285080,2008,206760.0
72285080,2009,80093.0
72285080,2010,89806.58
72285080,2011,97758.12
72285080,2012,93799.1
72285080,2013,49548.95
72285080,2014,79688.26
72285080,2015,85801.0
72285080,2016,71467.2
72285080,2017,20334.04
72285080,2018,17595.15
72285080,2019,21589.06
72285080,2020,19941.78
72285080,2021,34615.02
72285080,2022,74851.58
72286080,2008,387519.81
72286080,2009,141517.22
72286080,2010,146787.87
72286080,2011,84887.8
72286080,2012,77610.41
72286080,2013,123256.69
72286080,2014,203192.37
72286080,2015,91113.74
72286080,2016,74519.19
72286080,2017,75920.77
72286080,2018,83274.71
72286080,2019,78821.02
72286080,2020,74974.5
72286080,2021,72428.99
72286080,2022,74743.12
72287090,2008,34365.1
72287090,2009,22331.17
72287090,2010,34602.26
72287090,2011,28422.53
72287090,2012,29722.29
72287090,2013,26044.62
72287090,2014,58369.88
72287090,2015,35416.53
72287090,2016,56674.91
72287090,2017,63611.97
72287090,2018,38642.53
72287090,2019,41050.65
72287090,2020,37495.75
72287090,2021,23247.58
72287090,2022,30161.9
72292000,2008,339338.86
72292000,2009,198773.99
72292000,2010,201298.44
72292000,2011,303115.23
72292000,2012,328291.46
72292000,2013,382169.61
72292000,2014,607411.3
72292000,2015,658669.94
72292000,2016,778369.28
72292000,2017,788461.55
72292000,2018,875386.47
72292000,2019,925866.72
72292000,2020,800970.5
72292000,2021,1019286.4
72292000,2022,926108.5
72299020,2008,13127.0
72299020,2009,4579.0
72299020,2010,13032.82
72299020,2011,18507.93
72299020,2012,14655.92
72299020,2013,6508.14
72299020,2014,6815.85
72299020,2015,6201.67
72299020,2016,5870.81
72299020,2017,7902.62
72299020,2018,6577.04
72299020,2019,6584.06
72299020,2020,11512.44
72299020,2021,9682.74
72299020,2022,11986.71
72299050,2008,66688.0
72299050,2009,12079.0
72299050,2010,25649.84
72299050,2011,31428.54
72299050,2012,26415.54
72299050,2013,4105.9
72299050,2014,1339.38
72299050,2015,48009.91
72299050,2016,46062.75
72299050,2017,34444.46
72299050,2018,47682.14
72299050,2019,56435.65
72299050,2020,8768.95
72299050,2021,7770.08
72299050,2022,4764.8
72299090,2008,564515.26
72299090,2009,400738.73
72299090,2010,423182.91
72299090,2011,595442.01
72299090,2012,520268.23
72299090,2013,476249.25
72299090,2014,687335.77
72299090,2015,914853.47
72299090,2016,1158837.22
72299090,2017,1146756.3
72299090,2018,844762.07
72299090,2019,878413.42
72299090,2020,2549792.24
72299090,2021,3732417.03
72299090,2022,3258567.82
73030010,2008,748630.53
73030010,2009,695276.84
73030010,2010,393820.2
73030010,2011,555483.11
73030010,2012,441652.67
73030010,2013,531545.66
73030010,2014,710428.79
73030010,2015,861685.42
73030010,2016,606327.78
73030010,2017,442020.93
73030010,2018,460814.19
73030010,2019,644113.62
73030010,2020,484369.24
73030010,2021,624026.78
73030010,2022,736812.76
73030090,2008,1281479.51
73030090,2009,390110.01
73030090,2010,613370.8
73030090,2011,645175.48
73030090,2012,582361.36
73030090,2013,543300.36
73030090,2014,473433.64
73030090,2015,448816.79
73030090,2016,316624.52
73030090,2017,448356.74
73030090,2018,378400.88
73030090,2019,475334.44
73030090,2020,349836.05
73030090,2021,486613.22
73030090,2022,606094.31
